symbol,time_ist,datetime_ist,option_ltp,nifty,trend,rsi_1m,supertrend_1m,trailing_sl,action,reason
NIFTY 22 MAY 23750 PE,10:29 IST,2026-05-22 10:29:00 IST,142.75,23767.05,BEARISH,33.4,RED,128.47,HOLD,NIFTY above VWAP
NIFTY 22 MAY 23750 PE,10:30 IST,2026-05-22 10:30:00 IST,133.9,23761.45,BEARISH,31.67,RED,128.47,HOLD,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23750 PE,10:31 IST,2026-05-22 10:31:00 IST,133.9,23764.3,BEARISH,39.53,RED,128.47,HOLD,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23750 PE,10:32 IST,2026-05-22 10:32:00 IST,133.9,23766.4,BEARISH,42.84,RED,128.47,HOLD,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23750 PE,10:33 IST,2026-05-22 10:33:00 IST,133.9,23769.8,SIDEWAYS,52.83,RED,128.47,HOLD,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23750 PE,10:34 IST,2026-05-22 10:34:00 IST,133.9,23777.55,SIDEWAYS,59.84,RED,128.47,HOLD,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23750 PE,10:35 IST,2026-05-22 10:35:00 IST,134.15,23778.15,SIDEWAYS,58.35,RED,128.47,HOLD,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23750 PE,10:36 IST,2026-05-22 10:36:00 IST,134.15,23782.1,SIDEWAYS,59.84,RED,128.47,EXIT,EMA9 CROSSED ABOVE EMA20
NIFTY 22 MAY 24000 CE,12:51 IST,2026-05-22 12:51:00 IST,78.75,23825.3,BULLISH,89.85,GREEN,70.88,HOLD,Momentum intact
NIFTY 22 MAY 24000 CE,12:52 IST,2026-05-22 12:52:00 IST,78.75,23825.85,BULLISH,95.07,GREEN,70.88,HOLD,Momentum intact
NIFTY 22 MAY 24000 CE,12:53 IST,2026-05-22 12:53:00 IST,78.75,23827.25,BULLISH,95.06,GREEN,70.88,HOLD,Momentum intact
NIFTY 22 MAY 24000 CE,12:54 IST,2026-05-22 12:54:00 IST,78.75,23824.25,BULLISH,89.75,GREEN,70.88,HOLD,Momentum intact
NIFTY 22 MAY 24000 CE,12:55 IST,2026-05-22 12:55:00 IST,74.75,23831.55,BULLISH,90.08,GREEN,70.88,HOLD,OI falling on CE; Volume slowing
NIFTY 22 MAY 24000 CE,12:56 IST,2026-05-22 12:56:00 IST,74.75,23830.7,BULLISH,88.53,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,12:57 IST,2026-05-22 12:57:00 IST,74.75,23827.4,BULLISH,83.74,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,12:58 IST,2026-05-22 12:58:00 IST,74.75,23830.45,BULLISH,84.29,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,12:59 IST,2026-05-22 12:59:00 IST,74.75,23831.45,BULLISH,83.01,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,13:00 IST,2026-05-22 13:00:00 IST,73.0,23827.45,BULLISH,78.41,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,13:01 IST,2026-05-22 13:01:00 IST,73.0,23829.5,BULLISH,77.18,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,13:02 IST,2026-05-22 13:02:00 IST,73.0,23828.0,BULLISH,71.11,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,13:03 IST,2026-05-22 13:03:00 IST,73.0,23820.1,SIDEWAYS,54.75,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,13:04 IST,2026-05-22 13:04:00 IST,73.0,23828.05,BULLISH,63.4,GREEN,70.88,HOLD,OI falling on CE
NIFTY 22 MAY 24000 CE,13:05 IST,2026-05-22 13:05:00 IST,69.0,23827.95,SIDEWAYS,53.01,GREEN,70.88,EXIT,STOP LOSS
NIFTY 22 MAY 23800 PE,13:51 IST,2026-05-22 13:51:00 IST,138.5,23809.55,SIDEWAYS,53.1,RED,124.65,HOLD,NIFTY above VWAP
NIFTY 22 MAY 23800 PE,13:52 IST,2026-05-22 13:52:00 IST,138.5,23806.95,SIDEWAYS,51.05,RED,124.65,HOLD,NIFTY above VWAP
NIFTY 22 MAY 23800 PE,13:53 IST,2026-05-22 13:53:00 IST,138.5,23798.75,BEARISH,42.85,RED,124.65,HOLD,NIFTY above VWAP
NIFTY 22 MAY 23800 PE,13:54 IST,2026-05-22 13:54:00 IST,138.5,23800.05,BEARISH,42.89,RED,124.65,HOLD,NIFTY above VWAP
NIFTY 22 MAY 23800 PE,13:55 IST,2026-05-22 13:55:00 IST,138.55,23798.0,BEARISH,38.59,RED,124.65,TRAIL STOP,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23800 PE,13:56 IST,2026-05-22 13:56:00 IST,138.55,23792.05,BEARISH,36.36,RED,124.65,TRAIL STOP,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23800 PE,13:57 IST,2026-05-22 13:57:00 IST,138.55,23790.8,BEARISH,37.15,RED,124.65,TRAIL STOP,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23800 PE,13:58 IST,2026-05-22 13:58:00 IST,138.55,23787.7,BEARISH,37.3,RED,124.65,TRAIL STOP,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23800 PE,13:59 IST,2026-05-22 13:59:00 IST,138.55,23786.1,BEARISH,38.0,RED,124.65,TRAIL STOP,OI falling on PE; NIFTY above VWAP
NIFTY 22 MAY 23800 PE,14:00 IST,2026-05-22 14:00:00 IST,158.7,23792.15,BEARISH,34.7,RED,124.65,TRAIL STOP,Profit protection
NIFTY 22 MAY 23800 PE,14:01 IST,2026-05-22 14:01:00 IST,158.7,23789.45,BEARISH,23.7,RED,124.65,TRAIL STOP,Profit protection
NIFTY 22 MAY 23800 PE,14:02 IST,2026-05-22 14:02:00 IST,158.7,23787.2,BEARISH,23.05,RED,124.65,TRAIL STOP,Profit protection
NIFTY 22 MAY 23800 PE,14:03 IST,2026-05-22 14:03:00 IST,158.7,23778.7,BEARISH,22.3,RED,124.65,TRAIL STOP,Profit protection
NIFTY 22 MAY 23800 PE,14:04 IST,2026-05-22 14:04:00 IST,158.7,23777.0,BEARISH,24.57,RED,124.65,TRAIL STOP,Profit protection
NIFTY 22 MAY 23800 PE,14:05 IST,2026-05-22 14:05:00 IST,149.55,23761.75,BEARISH,11.76,RED,124.65,EXIT,TRAILING SL HIT
